Sample ID;GenCluster;Ecozone name;Biome number;Ecosystem number;Mean annual temp.;Mean july temp;Mean january temp.;Annual precipitation (mm);Altitude (m);Road density (km/100km2);Snow cover depth (cm);Density of population (people/km2)
1;1;Central European mixed forests;4;12;6,9;17,6;-4,9;584;163;3,463;13,2;46
2;1;Central European mixed forests;4;12;7,1;17,8;-4,7;575;155;3,462;13,2;46
3;1;Central European mixed forests;4;12;6,8;17,5;-5,1;596;183;3,925;15,1;42
4;1;Central European mixed forests;4;12;6,8;17,5;-5,1;595;179;3,742;15,1;42
5;1;Central European mixed forests;4;12;6,8;17,5;-5,1;596;169;3,925;15,1;42
6;1;Central European mixed forests;4;12;6,9;17,6;-5,0;590;173;3,774;15,1;42
7;1;Central European mixed forests;4;12;6,9;17,6;-5,0;588;169;3,596;13,2;42
8;1;Central European mixed forests;4;12;6,9;17,6;-5,0;588;153;3,504;15,1;42
9;1;Central European mixed forests;4;12;7,1;18,9;-6,3;626;117;1,575;14,9;36
10;1;Sarmatic mixed forests;4;36;5,2;17,1;-7,8;638;133;3,245;26,6;30
11;1;Sarmatic mixed forests;4;36;5;17,0;-7,9;631;106;2,555;25,4;12
12;1;Sarmatic mixed forests;4;36;5,4;16,8;-6,0;661;83;2,366;23,9;39
13;1;Sarmatic mixed forests;4;36;5;17,1;-8,4;643;162;2,003;27,8;30
14;1;Sarmatic mixed forests;4;36;5,3;17,2;-7,9;649;146;3,313;28,6;30
15;1;Sarmatic mixed forests;4;36;5,3;17,2;-7,9;649;146;3,313;28,6;30
16;1;Central European mixed forests;4;12;7,1;18,9;-6,3;626;117;1,575;14,9;36
17;1;Central European mixed forests;4;12;7,1;18,9;-6,3;626;117;1,575;14,9;36
18;1;Sarmatic mixed forests;4;36;5;17,1;-8,4;643;162;2,003;27,8;30
19;1;Central European mixed forests;4;12;7,1;18,9;-6,3;626;117;1,575;14,9;36
20;1;Central European mixed forests;4;12;7,3;19,0;-6,3;621;111;1,801;16,1;36
21;1;Central European mixed forests;4;12;7,3;19,0;-6,3;621;111;1,801;16,1;36
22;1;Sarmatic mixed forests;4;36;6,4;16,6;-3,6;683;12;1,694;14,8;22
23;1;Sarmatic mixed forests;4;36;5,3;16,8;-7,1;649;123;2,279;23,1;23
24;1;Sarmatic mixed forests;4;36;5,4;17,4;-8,0;647;137;2,750;28,8;30
25;1;Sarmatic mixed forests;4;36;4,4;16,7;-8,7;634;173;1,439;23,4;12
26;1;Sarmatic mixed forests;4;36;4,7;16,9;-8,6;612;114;0,929;24,7;12
27;1;Central European mixed forests;4;12;7,3;19,0;-6,3;621;111;1,801;16,1;36
28;1;Sarmatic mixed forests;4;36;5,2;17,1;-7,8;638;133;3,245;26,6;30
29;1;Sarmatic mixed forests;4;36;5,2;17,1;-7,8;638;133;3,245;26,6;30
30;1;Central European mixed forests;4;12;7,3;19,0;-6,3;621;111;1,801;16,1;36
31;1;Sarmatic mixed forests;4;36;5,2;17,1;-7,8;638;133;3,245;26,6;30
32;1;Sarmatic mixed forests;4;36;4,1;16,4;-8,9;655;238;2,096;31,3;12
33;1;Sarmatic mixed forests;4;36;4,1;16,4;-8,9;655;238;2,096;31,3;12
34;2;Carpathian montane forests;5;4;5,9;15,6;-5,2;1001;649;9,318;14,1;103
35;3;Pontic steppe;8;14;8,6;22,3;-5,8;527;167;3,152;19,9;85
36;3;Pontic steppe;8;14;8,4;21,6;-5,1;514;155;3,230;15,7;104
37;3;Pontic steppe;8;14;8,6;21,8;-4,9;508;120;3,499;15,5;104
38;3;East European forest steppe;4;19;7,9;20,7;-5,2;529;176;3,942;13,1;41
39;1;Sarmatic mixed forests;4;36;4,3;17,4;-9,1;633;235;1,859;33,4;19
40;1;Sarmatic mixed forests;4;36;4,8;17,0;-8,2;631;77;2,055;27,1;12
41;1;Sarmatic mixed forests;4;36;4,8;17,0;-8,2;631;77;2,055;27,1;12
42;1;East European forest steppe;4;19;4,8;18,2;-9,1;629;200;2,017;38,0;34
43;1;Sarmatic mixed forests;4;36;4,6;17,9;-9,3;645;206;5,051;39,0;34
44;1;Central European mixed forests;4;12;5,1;18,5;-8,7;604;182;2,038;27,2;37
45;1;Sarmatic mixed forests;4;36;4,6;17,9;-9,3;645;206;5,051;39,0;34
46;1;Central European mixed forests;4;12;7,5;18,6;-5,0;509;173;3,936;10,7;52
47;4;Balkan mixed forests;4;4;11,6;21,7;0,8;504;917;3,616;0,9;51
48;2;Pannonian mixed forests;4;31;9,3;19,6;-2,9;697;123;3,275;10,4;98
49;2;Carpathian montane forests;5;4;4,6;14,2;-6,3;861;849;2,439;53,6;98
50;2;Carpathian montane forests;5;4;4,6;14,2;-6,3;861;849;2,439;53,6;98
51;2;Carpathian montane forests;5;4;8,3;18,6;-4,0;727;196;4,455;10,0;98
52;2;Carpathian montane forests;5;4;6,4;16,3;-5,0;779;482;3,835;18,6;117
53;2;Carpathian montane forests;5;4;5,4;15,2;-5,7;851;689;3,685;33,9;117
54;2;Carpathian montane forests;5;4;5,4;15,2;-5,7;856;897;3,224;33,9;117
55;2;Central European mixed forests;4;12;7,8;17,8;-3,8;652;246;3,963;10,3;117
56;2;Carpathian montane forests;5;4;5,8;15,7;-5,7;802;775;4,071;19,5;117
